,dataset,corr-method,embeddings,value
0,mc-30.csv,kendall,fasttext_wikipedia_en_300d.bin,0.605992392048027
1,mc-30.csv,pearson,fasttext_wikipedia_en_300d.bin,0.8464724443283831
2,mc-30.csv,spearman,fasttext_wikipedia_en_300d.bin,0.8095238295654613
3,men.csv,kendall,fasttext_wikipedia_en_300d.bin,0.5735861728110236
4,men.csv,pearson,fasttext_wikipedia_en_300d.bin,0.774798370123013
5,men.csv,spearman,fasttext_wikipedia_en_300d.bin,0.7768818590547385
6,mturk-287.csv,kendall,fasttext_wikipedia_en_300d.bin,0.46926714612464354
7,mturk-287.csv,pearson,fasttext_wikipedia_en_300d.bin,0.6953342843071139
8,mturk-287.csv,spearman,fasttext_wikipedia_en_300d.bin,0.663186293689506
9,mturk-771.csv,kendall,fasttext_wikipedia_en_300d.bin,0.49546067653015197
10,mturk-771.csv,pearson,fasttext_wikipedia_en_300d.bin,0.674164672837619
11,mturk-771.csv,spearman,fasttext_wikipedia_en_300d.bin,0.6869208065568042
12,rg-65.csv,kendall,fasttext_wikipedia_en_300d.bin,0.6483634385899227
13,rg-65.csv,pearson,fasttext_wikipedia_en_300d.bin,0.8358760672524943
14,rg-65.csv,spearman,fasttext_wikipedia_en_300d.bin,0.8449694613102022
15,rw.csv,kendall,fasttext_wikipedia_en_300d.bin,0.3473474524234696
16,rw.csv,pearson,fasttext_wikipedia_en_300d.bin,0.4887144814366058
17,rw.csv,spearman,fasttext_wikipedia_en_300d.bin,0.5020152921098283
18,semeval17.csv,kendall,fasttext_wikipedia_en_300d.bin,0.5352089919731601
19,semeval17.csv,pearson,fasttext_wikipedia_en_300d.bin,0.7142218350462415
20,semeval17.csv,spearman,fasttext_wikipedia_en_300d.bin,0.7156825005850289
21,simlex999.csv,kendall,fasttext_wikipedia_en_300d.bin,0.22968711402399014
22,simlex999.csv,pearson,fasttext_wikipedia_en_300d.bin,0.32577194637595225
23,simlex999.csv,spearman,fasttext_wikipedia_en_300d.bin,0.3236581472155754
24,simverb-3500.csv,kendall,fasttext_wikipedia_en_300d.bin,0.20339693152235094
25,simverb-3500.csv,pearson,fasttext_wikipedia_en_300d.bin,0.30692306263528435
26,simverb-3500.csv,spearman,fasttext_wikipedia_en_300d.bin,0.295154106000692
27,verb-143.csv,kendall,fasttext_wikipedia_en_300d.bin,0.42631556425728323
28,verb-143.csv,pearson,fasttext_wikipedia_en_300d.bin,0.6348099890427275
29,verb-143.csv,spearman,fasttext_wikipedia_en_300d.bin,0.5846333764524237
30,wordsim353-rel.csv,kendall,fasttext_wikipedia_en_300d.bin,0.43913681404051724
31,wordsim353-rel.csv,pearson,fasttext_wikipedia_en_300d.bin,0.6142867966172906
32,wordsim353-rel.csv,spearman,fasttext_wikipedia_en_300d.bin,0.6226721322630241
33,wordsim353-sim.csv,kendall,fasttext_wikipedia_en_300d.bin,0.5718863380750673
34,wordsim353-sim.csv,pearson,fasttext_wikipedia_en_300d.bin,0.7757723521766615
35,wordsim353-sim.csv,spearman,fasttext_wikipedia_en_300d.bin,0.7744592551978556
36,yp-130.csv,kendall,fasttext_wikipedia_en_300d.bin,0.40598699363634083
37,yp-130.csv,pearson,fasttext_wikipedia_en_300d.bin,0.6189128312431755
38,yp-130.csv,spearman,fasttext_wikipedia_en_300d.bin,0.5596119544259739
39,mc-30.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.5368677845900772
40,mc-30.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.7378457262703441
41,mc-30.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.7020471913906077
42,men.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.5406658300895617
43,men.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.7297760672817453
44,men.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.7374646969805516
45,mturk-287.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.4456522446181539
46,mturk-287.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.7040651156932863
47,mturk-287.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.6331819978847202
48,mturk-771.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.46261033018741393
49,mturk-771.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.6436955841766697
50,mturk-771.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.6500829276838272
51,rg-65.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.5703286116571088
52,rg-65.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.7517113635836196
53,rg-65.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.7695249788612131
54,rw.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.2790657518589294
55,rw.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.3969659539987073
56,rw.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.4064219059911221
57,semeval17.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.49578320857192104
58,semeval17.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.6730155916577463
59,semeval17.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.676857469932902
60,simlex999.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.21193190155649688
61,simlex999.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.33470737621693836
62,simlex999.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.30117287177646906
63,simverb-3500.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.1560078448723692
64,simverb-3500.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.23014955160880773
65,simverb-3500.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.226666174150116
66,verb-143.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.42163934234586875
67,verb-143.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.5830277641194244
68,verb-143.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.5798352907224554
69,wordsim353-rel.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.4031192835513896
70,wordsim353-rel.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.5753547850508824
71,wordsim353-rel.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.5607165662159328
72,wordsim353-sim.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.5004857337613592
73,wordsim353-sim.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.666670946557973
74,wordsim353-sim.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.6653833714609897
75,yp-130.csv,kendall,glove.6B.300d.txt_header.txt.bin,0.40671916134352987
76,yp-130.csv,pearson,glove.6B.300d.txt_header.txt.bin,0.5705480968911792
77,yp-130.csv,spearman,glove.6B.300d.txt_header.txt.bin,0.5612779302688292
78,mc-30.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.605992392048027
79,mc-30.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.7840885814287172
80,mc-30.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.788607051121494
81,men.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.568094142021546
82,men.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.7562539775312687
83,men.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.7708060552770792
84,mturk-287.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.48512514559460157
85,mturk-287.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.7170734092512709
86,mturk-287.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.6839689831303845
87,mturk-771.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.4782562437566909
88,mturk-771.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.6489440372972215
89,mturk-771.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.6713097016879208
90,rg-65.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.5761089692076877
91,rg-65.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.7722681828662659
92,rg-65.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.7607828603850846
93,rw.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.36599989628064655
94,rw.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.5015243040856925
95,rw.csv,spearman,GoogleNews-vectors-negative300.bin.gz,0.5265271466904821
96,semeval17.csv,kendall,GoogleNews-vectors-negative300.bin.gz,0.5299895041697993
97,semeval17.csv,pearson,GoogleNews-vectors-negative300.bin.gz,0.7024964637579766
